Ticker,Market,ETF Name,Category,Subcategory
AADR,NYSE Arca,AdvisorShares WCM/BNY Mellon Focused Growth ADR ETF,Active ETFs,
ACCU,NYSE Arca,AdvisorShares Accuvest Global Opportunities ETF,Active ETFs,
ALD,NYSE Arca,WisdomTree Asia Local Debt,Active ETFs,
ARKG,NYSE Arca,ARK Genomic Revolution Multi-Sector ETF,Active ETFs,
ARKK,NYSE Arca,ARK Innovation ETF,Active ETFs,
ARKQ,NYSE Arca,ARK Industrial Innovation ETF,Active ETFs,
ARKW,NYSE Arca,ARK Web x.0 ETF,Active ETFs,
AUNZ,NYSE Arca,WisdomTree Australia & New Zealand Debt Fund,Active ETFs,
BABZ,NYSE Arca,PIMCO Build America Bond Strategy,Active ETFs,
BOND,NYSE Arca,PIMCO Total Return ETF,Active ETFs,
BZF,NYSE Arca,WisdomTree Dreyfus Brazilian Real Fund,Active ETFs,
CCX,NYSE Arca,WisdomTree Commodity Currency,Active ETFs,
CEW,NYSE Arca,WisdomTree Dreyfus Emerging Currency,Active ETFs,
CHNA,NYSE Arca,PowerShares China-A Share Portfolio,Active ETFs,
CRDT,NYSE Arca,WisdomTree Strategic Corporate Bond Fund,Active ETFs,
CYB,NYSE Arca,WisdomTree Dreyfus Chinese Yuan,Active ETFs,
DBIZ,NYSE Arca,AdvisorShares Pring Turner Business Cycle ETF,Active ETFs,
DI,NYSE Arca,PIMCO Diversified Income ETF,Active ETFs,
ELD,NYSE Arca,WisdomTree Emerging Markets Local Debts Fund,Active ETFs,
EMCB,NYSE Arca,WisdomTree Emerging Markets Corporate Bond Fund,Active ETFs,
EMLP,NYSE Arca,First Trust North American Energy Infrastructure Fund,Active ETFs,
EPRO,NYSE Arca,AdvisorShares EquityPro ETF,Active ETFs,
EU,NYSE Arca,WisdomTree Euro Debt Fund,Active ETFs,
FMB,NYSE Arca,First Trust Managed Municipal ETF,Active ETFs,
FMF,NYSE Arca,First Trust Morningstar Managed Futures Strategy Fund,Active ETFs,
FORX,NYSE Arca,PIMCO Foreign Currency Strategy ETF,Active ETFs,
FPE,NYSE Arca,First Trust Preferred Securities and Income ETF,Active ETFs,
FTGS,NYSE Arca,First Trust Global Tactical Commodity Strategy Fund,Active ETFs,
FTHI,NYSE Arca,First Trust High Income ETF,Active ETFs,
FTLB,NYSE Arca,First Trust Low Beta Income ETF,Active ETFs,
FTSD,NYSE Arca,Franklin Short Duration US Government ETF,Active ETFs,
FTSL,NYSE Arca,First Trust Senior Loan ETF,Active ETFs,
FWDB,NYSE Arca,AdvisorShares Madrona Global Bond ETF,Active ETFs,
FWDD,NYSE Arca,AdvisorShares Madrona Domestic ETF,Active ETFs,
FWDI,NYSE Arca,AdvisorShares Madrona International ETF,Active ETFs,
GAL,NYSE Arca,SPDR SSgA Global Allocation,Active ETFs,
GEUR,NYSE Arca,AdvisorShares Gartman Gold/Euro ETF,Active ETFs,
GGBP,NYSE Arca,AdvisorShares Gartman Gold/British Pound ETF,Active ETFs,
GIVE,NYSE Arca,AdvisorShares Global Echo ETF,Active ETFs,
GLDE,NYSE Arca,AdvisorShares International Gold ETF,Active ETFs,
GMMB,NYSE Arca,Columbia Intermediate Municipal Bond ETF,Active ETFs,
GMTB,NYSE Arca,Columbia Core Bond ETF,Active ETFs,
GSY,NYSE Arca,Guggenheim Enhanced Short Duration Bond ETF,Active ETFs,
GTAA,NYSE Arca,AdvisorShares Cambria Global Tactical ETF,Active ETFs,
GVT,NYSE Arca,Columbia Select Large Cap Value ETF,Active ETFs,
GYEN,NYSE Arca,AdvisorShares Gartman Gold/Yen ETF,Active ETFs,
HDGE,NYSE Arca,AdvisorShares Ranger Equity Bear ETF,Active ETFs,
HDGI,NYSE Arca,AdvisorShares Athena International Bear ETF,Active ETFs,
HECO,NYSE Arca,Huntington EcoLogical Strategy ETF,Active ETFs,
HOLD,NYSE Arca,AdvisorShares Sage Core Reserves ETF,Active ETFs,
HUSE,NYSE Arca,Huntington U.S. Equity Rotation Strategy ETF,Active ETFs,
HYLD,NYSE Arca,AdvisorShares Peritus High Yield ETF,Active ETFs,
HYLS,NYSE Arca,First Trust Tactical High Yield ETF,Active ETFs,
ICB,NYSE Arca,WisdomTree Dreyfus Indian Rupee,Active ETFs,
ICSH,NYSE Arca,iShares Liquidity Income ETF,Active ETFs,
IEIL,NYSE Arca,iShares Enhanced International Large-Cap ETF,Active ETFs,
IEIS,NYSE Arca,iShares Enhanced International Small-Cap ETF,Active ETFs,
IELG,NYSE Arca,iShares Enhanced U.S. Large-Cap ETF,Active ETFs,
IESM,NYSE Arca,iShares Enhanced U.S. Small-Cap ETF,Active ETFs,
ILB,NYSE Arca,PIMCO Global Advantage Inflation-Linked Bond Strategy,Active ETFs,
INKM,NYSE Arca,SPDR SSgA Income Allocation,Active ETFs,
LALT,NYSE Arca,PowerShares Multi-Strategy Alternative Portfolio,Active ETFs,
LDUR,NYSE Arca,PIMCO Low Duration ETF,Active ETFs,
MATH,NYSE Arca,AdvisorShares Meidell Tactical Advantage ETF,Active ETFs,
MINC,NYSE Arca,AdvisorShares Newfleet Multi-Sector Income ETF,Active ETFs,
MINT,NYSE Arca,PIMCO Enhanced Short Duration ETF,Active ETFs,
MUNI,NYSE Arca,PIMCO Intermediate Muni Bond Strategy ETF,Active ETFs,
NEAR,NYSE Arca,iShares Short Maturity Bond ETF,Active ETFs,
ONEF,NYSE Arca,Russell Equity ETF,Active ETFs,
PHDG,NYSE Arca,S&P 500 Downside Hedged Portfolio,Active ETFs,
PSR,NYSE Arca,Active U.S. Real Estate Fund ETF,Active ETFs,
QEH,NYSE Arca,AdvisorShares QAM Equity Hedge ETF,Active ETFs,
RAVI,NYSE Arca,Flexshares Ready Access Variable Income Fund,Active ETFs,
RIGS,NYSE Arca,Riverfront Strategic Income Fund,Active ETFs,
RLY,NYSE Arca,SPDR SSgA Multi-Asset Real Return,Active ETFs,
RPX,NYSE Arca,Columbia Large Cap Growth ETF,Active ETFs,
RRF,NYSE Arca,WisdomTree Global Real Return,Active ETFs,
RWG,NYSE Arca,Columbia Select Large Cap Growth ETF,Active ETFs,
SMMU,NYSE Arca,PIMCO Short Term Muni Bond Strategy ETF,Active ETFs,
SRLN,NYSE Arca,SPDR Blackstone/GSO Senior Loan ETF,Active ETFs,
SYE,NYSE Arca,SPDR MFS Systematic Core Equity ETF,Active ETFs,
SYG,NYSE Arca,SPDR MFS Systematic Growth Equity ETF,Active ETFs,
SYLD,NYSE Arca,Cambria Shareholder Yield ETF,Active ETFs,
SYV,NYSE Arca,SPDR MFS Systematic Value Equity ETF,Active ETFs,
TTFS,NYSE Arca,AdvisorShares TrimTabs Float Shrink ETF,Active ETFs,
ULST,NYSE Arca,SPDR SSgA Ultra Short Term Bond ETF,Active ETFs,
USDU,NYSE Arca,WisdomTree Bloomberg U.S. Dollar Bullish Fund,Active ETFs,
